trial,loss,mae,mse,rmse,error_count,evaluated,val_mae,val_mse,val_rmse,val_error_count
0,181.26117414057802,181.26117414057802,58963.342549106914,242.8236861368901,0,2205494,181.53904037477454,58881.385710904535,242.65486953882572,0
1,181.3143164297885,181.3143164297885,59043.093161441386,242.9878457072316,0,2205494,181.8831318811364,59229.70586482979,243.37153873209945,0
2,181.184131990384,181.184131990384,58917.807176079375,242.72990581318854,0,2205494,181.60034114929772,58974.04882189232,242.8457304996164,0
3,179.3229670994344,179.3229670994344,58190.431955833934,241.2269304116643,0,2205494,179.70874174671704,58229.73119394093,241.30837365068982,0
4,179.32276805105795,179.32276805105795,58212.17095625742,241.27198543605806,0,2205494,179.72360377712667,58208.65392933803,241.26469681521584,0
5,179.3684009115418,179.3684009115418,58218.33688325609,241.28476305655127,0,2205494,179.72163278297845,58248.515914859585,241.3472931583439,0
6,188.23601651149357,188.23601651149357,66048.77315875718,256.9995586742459,0,2205494,188.706954385564,66084.93326368881,257.0698995675861,0
7,188.3824444772917,188.3824444772917,66085.88538486163,257.07175143306125,0,2205494,188.6501301753899,66299.51268291887,257.48691749857676,0
8,188.5715182176873,188.5715182176873,66339.72684124282,257.56499537251335,0,2205494,187.28006888277685,64860.67940127482,254.67759893888356,0
9,185.7174623916456,185.7174623916456,63793.584595106586,252.5739190714405,0,2205494,186.36820455899516,64062.65283570152,253.1060110619689,0
10,185.8593476110114,185.8593476110114,63956.001767404494,252.89523872031378,0,2205494,185.7715238274013,63521.005847690714,252.03373950265214,0
11,185.62058658967106,185.62058658967106,63748.18105240821,252.48402138038006,0,2205494,186.23949007157606,63693.827172786405,252.37636017025525,0
12,179.30256766010473,179.30256766010473,57574.50965192768,239.9468892316124,0,2235771,179.33639671843426,57767.920992037616,240.34958080270832,0
13,179.25390525237157,179.25390525237157,57532.76105960763,239.85987796963383,0,2235771,179.44116770926422,57881.41192667198,240.58556051158178,0
14,179.2140152099656,179.2140152099656,57506.17244073744,239.8044462488914,0,2235771,179.8772150166252,58242.27216224267,241.33435760836596,0
15,181.24884883111912,181.24884883111912,58714.45331207892,242.31065455748933,0,2235771,181.55278200452463,59131.662629117054,243.1700282294614,0
16,181.2147366613128,181.2147366613128,58705.08085711819,242.29131403564222,0,2235771,181.77800320427667,59321.75480842773,243.56057728710476,0
17,181.39943446802022,181.39943446802022,58829.61281678669,242.5481659728366,0,2235771,180.90265600721364,58788.93236399939,242.4642909048658,0
18,181.02192576967855,181.02192576967855,59388.59928588393,243.69776216839566,0,2235771,181.2842829424599,59809.76105193666,244.56034235324552,0
19,180.84644089220228,180.84644089220228,59294.08098146009,243.50375968649865,0,2235771,181.2171622024169,59713.43258137494,244.36332085927899,0
20,180.9747456246637,180.9747456246637,59344.56007077648,243.60738919576409,0,2235771,180.82887310903396,59574.76550411001,244.0794245816513,0
21,180.174389058629,180.174389058629,59635.91906326721,244.20466634212215,0,2235771,180.02607298987996,59672.71307634712,244.27998910337934,0
22,179.71636093320828,179.71636093320828,59202.08695613281,243.31478984256754,0,2235771,180.88535854889741,60377.232056453235,245.71778945866583,0
23,179.9051503933095,179.9051503933095,59406.22421258707,243.73392093138588,0,2235771,179.4934908098447,58914.45929038958,242.72300939628607,0
24,181.2980631737329,181.2980631737329,58989.58916722688,242.87772472424655,0,2235771,181.76711027381268,59421.05502016762,243.76434320910764,0
25,181.245668720097,181.245668720097,58952.918462579575,242.80222087653888,0,2235771,182.4343244048338,60179.77595021295,245.31566592904935,0
26,181.34451471103256,181.34451471103256,59035.98321071344,242.973215006744,0,2235771,183.13304188907406,60953.41497798066,246.88745407164913,0
27,187.99506389518424,187.99506389518424,65175.6627087479,255.29524615383636,0,2235771,187.96118638745983,65358.32528238695,255.6527435455895,0
28,188.3504267655319,188.3504267655319,65517.95602590784,255.96475543696997,0,2235771,187.78137252534034,64845.074338413484,254.64696019865127,0
29,188.13313841176043,188.13313841176043,65397.27671259713,255.72891254724627,0,2235771,187.80899129692696,64651.419140319944,254.26643337318424,0
30,181.25040176297125,181.25040176297125,58972.14390472012,242.84180839534224,0,2235771,181.39268491011117,59201.22318028484,243.3130148189464,0
31,181.10528806393856,181.10528806393856,58815.47806416668,242.51902619004284,0,2235771,181.19280003864455,59075.80663639511,243.0551514294546,0
32,181.1686344442253,181.1686344442253,58853.17296851958,242.59672909691008,0,2235771,180.49232342261834,58683.763245819544,242.247318345982,0
33,179.85378735120904,179.85378735120904,57787.20405265119,240.3896920682149,0,2235771,180.1234250336127,58163.31046462012,241.17070813973268,0
34,179.83473665236735,179.83473665236735,57760.372890157356,240.33387794931733,0,2235771,180.11916608297307,58200.26463863327,241.24731011688664,0
35,179.69994690869504,179.69994690869504,57654.23162390066,240.1129559684372,0,2235771,180.55369578693976,58583.40036551296,242.04008008078532,0
36,179.9522419782706,179.9522419782706,58250.42613577151,241.35125053699537,0,2235771,180.06391243790708,58524.272093809624,241.9179036239559,0
37,179.9367318924881,179.9367318924881,58245.17882600678,241.34037960110774,0,2235771,180.13302981265448,58569.57408480867,242.01151643012503,0
38,179.87569478269464,179.87569478269464,58202.90416952362,241.25278064620028,0,2235771,180.2425589128002,58637.76550813548,242.1523601126685,0
39,179.83039452609412,179.83039452609412,57727.76533956295,240.26603034878434,0,2235771,180.00497951034143,58054.211067636,240.94441489197462,0
40,179.8118886057651,179.8118886057651,57726.32780995907,240.26303879281778,0,2235771,179.5563968794532,57829.961134056306,240.47860847496665,0
41,179.7281872785719,179.7281872785719,57685.296202070786,240.17763468331265,0,2235771,180.0751233807534,58328.792792792796,241.51354577495812,0
42,180.3998727955591,180.3998727955591,58766.25821875317,242.4175286953342,0,2235771,180.73964849568065,59209.801922565995,243.33064320501435,0
43,180.47882453077708,180.47882453077708,58821.88576826517,242.5322365547829,0,2235771,180.37531499327747,59088.97178545838,243.08223255815793,0
44,180.4837320101209,180.4837320101209,58845.55219474624,242.58102191792796,0,2235771,180.0339186371358,58824.00608651547,242.53660772451542,0
45,179.5465626846399,179.5465626846399,58345.85461480626,241.54886589426633,0,2235771,179.61148548011818,58556.58509447786,241.98467946231196,0
46,179.37852042986515,179.37852042986515,58219.256481097575,241.2866686766958,0,2235771,180.5097295687108,59223.64468758302,243.3590858948624,0
47,179.49397053633848,179.49397053633848,58319.3256295032,241.49394532679943,0,2235771,180.69520324614157,59191.25672455297,243.29253322811402,0
48,179.03162935738948,179.03162935738948,57917.06472040294,240.6596449768904,0,2235771,178.8272186395511,57980.214734842084,240.79081115117762,0
49,178.77569661651395,178.77569661651395,57742.74491707782,240.2972012260605,0,2235771,179.4190074793292,58742.04025875741,242.36757262215878,0
50,178.86837113461084,178.86837113461084,57823.524006260035,240.46522410997403,0,2235771,180.34613836356465,59790.89266880822,244.52176318031127,0
51,181.64475878790807,181.64475878790807,60635.87882032641,246.24353559093976,0,2235771,182.22545065172412,61312.6610149023,247.61393542145868,0
52,182.2614216751179,182.2614216751179,61119.2548588384,247.22308722859685,0,2235771,179.97793638142164,59336.952511492724,243.59177430999742,0
53,181.88547485408836,181.88547485408836,60820.616403916145,246.61836185474135,0,2235771,177.89978584482606,57409.67448011014,239.60316041344308,0
54,177.4449838556811,177.4449838556811,56942.47842869417,238.6262316441639,0,2235771,177.8007350514053,57334.10024635896,239.445401389041,0
